ID,name,ItemFolder,NoHItemFolder,itemPic,itemBack,itemType,DisplayType,ShowInBackpack,Rarity,Race,MaxLimit,ActionFunc,ItemUpperCap,ItemDesc,ItemEffect,,,,,,,,,,,,,,
Recipe_Other_2,摩摩喳喳食譜,3_dishes,,Recipe_Other_2,item_bg_04,Important,InGet,,4,Recipe,1,,,記載製作摩摩喳喳的文件,可解鎖新的料理配方,93,,,,,,,,,,,,,
Recipe_Other_3,元素咖哩食譜,3_dishes,,Recipe_Other_3,item_bg_05,Important,InGet,,5,Recipe,1,,,記載製作元素咖哩的文件,可解鎖新的料理配方,94,,,,,,,,,,,,,
Recipe_Other_4,沙威核食譜,3_dishes,,Recipe_Other_4,item_bg_05,Important,InGet,,5,Recipe,1,,,記載製作沙威核的文件,可解鎖新的料理配方,95,,,,,,,,,,,,,
Recipe_Other_5,大爆炸彩虹果凍食譜,3_dishes,,Recipe_Other_5,item_bg_05,Important,InGet,,5,Recipe,1,,,記載製作大爆炸彩虹果凍的文件,可解鎖新的料理配方,96,,,,,,,,,,,,,
Recipe_Veggies_11,宇宙薯濃湯食譜,3_dishes,,Recipe_Veggies_11,item_bg_02,Important,InGet,,2,Recipe,1,,,記載製作宇宙薯濃湯的文件,可解鎖新的料理配方,97,,,,,,,,,,,,,
Recipe_Veggies_12,羅宋湯食譜,3_dishes,,Recipe_Veggies_12,item_bg_03,Important,InGet,,3,Recipe,1,,,記載製作羅宋湯的文件,可解鎖新的料理配方,98,,,,,,,,,,,,,
Recipe_Veggies_13,瑪格莉特披薩食譜,3_dishes,,Recipe_Veggies_13,item_bg_04,Important,InGet,,4,Recipe,1,,,記載製作瑪格莉特披薩的文件,可解鎖新的料理配方,99,,,,,,,,,,,,,
Recipe_Veggies_14,咖哩囊餅食譜,3_dishes,,Recipe_Veggies_14,item_bg_04,Important,InGet,,4,Recipe,1,,,記載製作咖哩囊餅的文件,可解鎖新的料理配方,100,,,,,,,,,,,,,
Recipe_Veggies_15,法式蔬菜凍食譜,3_dishes,,Recipe_Veggies_15,item_bg_05,Important,InGet,,5,Recipe,1,,,記載製作法式蔬菜凍的文件,可解鎖新的料理配方,101,,,,,,,,,,,,,
Recipe_Veggies_16,水果之王聖代食譜,3_dishes,,Recipe_Veggies_16,item_bg_05,Important,InGet,,5,Recipe,1,,,記載製作水果之王聖代的文件,可解鎖新的料理配方,102,,,,,,,,,,,,,
Recipe_Meat_21,歐姆蛋包飯食譜,3_dishes,,Recipe_Meat_21,item_bg_02,Important,InGet,,2,Recipe,1,,,記載製作歐姆蛋包飯的文件,可解鎖新的料理配方,103,,,,,,,,,,,,,
Recipe_Meat_22,肉排三明治食譜,3_dishes,,Recipe_Meat_22,item_bg_03,Important,InGet,,3,Recipe,1,,,記載製作肉排三明治的文件,可解鎖新的料理配方,104,,,,,,,,,,,,,
Recipe_Meat_24,小籠湯包食譜,3_dishes,,Recipe_Meat_24,item_bg_04,Important,InGet,,4,Recipe,1,,,記載製作小籠湯包的文件,可解鎖新的料理配方,105,,,,,,,,,,,,,
Recipe_Meat_26,握壽司食譜,3_dishes,,Recipe_Meat_26,item_bg_04,Important,InGet,,4,Recipe,1,,,記載製作握壽司的文件,可解鎖新的料理配方,106,,,,,,,,,,,,,
Recipe_Meat_27,火元素烤肉食譜,3_dishes,,Recipe_Meat_27,item_bg_05,Important,InGet,,5,Recipe,1,,,記載製作火元素烤肉的文件,可解鎖新的料理配方,107,,,,,,,,,,,,,
Recipe_Meat_28,閃光渡渡鳥親子丼食譜,3_dishes,,Recipe_Meat_28,item_bg_05,Important,InGet,,5,Recipe,1,,,記載製作閃光渡渡鳥親子丼的文件,可解鎖新的料理配方,108,,,,,,,,,,,,,
Recipe_Meat_29,傳說牛燒肉盛合食譜,3_dishes,,Recipe_Meat_29,item_bg_05,Important,InGet,,5,Recipe,1,,,記載製作傳說牛燒肉盛合的文件,可解鎖新的料理配方,109,,,,,,,,,,,,,
Recipe_Insects_31,酥炸宇宙蝗蟲食譜,3_dishes,,Recipe_Insects_31,item_bg_02,Important,InGet,,2,Recipe,1,,,記載製作酥炸宇宙蝗蟲的文件,可解鎖新的料理配方,110,,,,,,,,,,,,,
Recipe_Insects_32,麻辣小龍蟹食譜,3_dishes,,Recipe_Insects_32,item_bg_03,Important,InGet,,3,Recipe,1,,,記載製作麻辣小龍蟹的文件,可解鎖新的料理配方,111,,,,,,,,,,,,,
Recipe_Insects_33,蜜蜂飲料食譜,3_dishes,,Recipe_Insects_33,item_bg_04,Important,InGet,,4,Recipe,1,,,記載製作蜜蜂飲料的文件,可解鎖新的料理配方,112,,,,,,,,,,,,,
Recipe_Insects_34,酸辣蝦蛄湯食譜,3_dishes,,Recipe_Insects_34,item_bg_04,Important,InGet,,4,Recipe,1,,,記載製作酸辣蝦蛄湯的文件,可解鎖新的料理配方,113,,,,,,,,,,,,,
Recipe_Insects_35,甲羅燒食譜,3_dishes,,Recipe_Insects_35,item_bg_05,Important,InGet,,5,Recipe,1,,,記載製作甲羅燒的文件,可解鎖新的料理配方,114,,,,,,,,,,,,,
Recipe_Insects_36,大王具足蟲焗烤佐蟲汁果凍食譜,3_dishes,,Recipe_Insects_36,item_bg_05,Important,InGet,,5,Recipe,1,,,記載製作大王具足蟲焗烤佐蟲汁果凍的文件,可解鎖新的料理配方,115,,,,,,,,,,,,,
Recipe_Mollusk_41,涼拌螢光水母食譜,3_dishes,,Recipe_Mollusk_41,item_bg_02,Important,InGet,,2,Recipe,1,,,記載製作涼拌螢光水母的文件,可解鎖新的料理配方,116,,,,,,,,,,,,,
Recipe_Mollusk_42,焗烤蝸牛食譜,3_dishes,,Recipe_Mollusk_42,item_bg_02,Important,InGet,,2,Recipe,1,,,記載製作焗烤蝸牛的文件,可解鎖新的料理配方,117,,,,,,,,,,,,,
Recipe_Mollusk_43,烤魷魚食譜,3_dishes,,Recipe_Mollusk_43,item_bg_03,Important,InGet,,3,Recipe,1,,,記載製作烤魷魚的文件,可解鎖新的料理配方,118,,,,,,,,,,,,,
Recipe_Mollusk_44,章魚燒食譜,3_dishes,,Recipe_Mollusk_44,item_bg_04,Important,InGet,,4,Recipe,1,,,記載製作章魚燒的文件,可解鎖新的料理配方,119,,,,,,,,,,,,,
Recipe_Mollusk_45,生牡蠣食譜,3_dishes,,Recipe_Mollusk_45,item_bg_04,Important,InGet,,4,Recipe,1,,,記載製作生牡蠣的文件,可解鎖新的料理配方,120,,,,,,,,,,,,,
Recipe_Mollusk_46,佛跳牆食譜,3_dishes,,Recipe_Mollusk_46,item_bg_05,Important,InGet,,5,Recipe,1,,,記載製作佛跳牆的文件,可解鎖新的料理配方,121,,,,,,,,,,,,,
Recipe_Mollusk_47,黃金烤蝸牛沙拉食譜,3_dishes,,Recipe_Mollusk_47,item_bg_05,Important,InGet,,5,Recipe,1,,,記載製作黃金烤蝸牛沙拉的文件,可解鎖新的料理配方,122,,,,,,,,,,,,,
Recipe_Fungus_51,炭烤星幻菇食譜,3_dishes,,Recipe_Fungus_51,item_bg_02,Important,InGet,,2,Recipe,1,,,記載製作炭烤星幻菇的文件,可解鎖新的料理配方,123,,,,,,,,,,,,,
Recipe_Fungus_52,藍紋起司餅乾食譜,3_dishes,,Recipe_Fungus_52,item_bg_03,Important,InGet,,3,Recipe,1,,,記載製作藍紋起司餅乾的文件,可解鎖新的料理配方,124,,,,,,,,,,,,,
Recipe_Fungus_53,松茸飯食譜,3_dishes,,Recipe_Fungus_53,item_bg_04,Important,InGet,,4,Recipe,1,,,記載製作松茸飯的文件,可解鎖新的料理配方,125,,,,,,,,,,,,,
Recipe_Fungus_54,香菇牛排食譜,3_dishes,,Recipe_Fungus_54,item_bg_04,Important,InGet,,4,Recipe,1,,,記載製作香菇牛排的文件,可解鎖新的料理配方,126,,,,,,,,,,,,,
Recipe_Fungus_55,黑松露酥皮湯食譜,3_dishes,,Recipe_Fungus_55,item_bg_05,Important,InGet,,5,Recipe,1,,,記載製作黑松露酥皮湯的文件,可解鎖新的料理配方,127,,,,,,,,,,,,,
Recipe_Fungus_56,冬蟲夏草飛龍鍋食譜,3_dishes,,Recipe_Fungus_56,item_bg_05,Important,InGet,,5,Recipe,1,,,記載製作冬蟲夏草飛龍鍋的文件,可解鎖新的料理配方,128,,,,,,,,,,,,,
Recipe_Other_95,失敗作食譜,3_dishes,,Recipe_Other_99,item_bg_02,Important,None,,2,Recipe,-1,,,#N/A,#N/A,,,,,,,,,,,,,,
Recipe_Other_96,失敗作食譜,3_dishes,,Recipe_Other_99,item_bg_01,Important,None,,1,Recipe,-1,,,#N/A,#N/A,,,,,,,,,,,,,,
Recipe_Other_97,失敗作食譜,3_dishes,,Recipe_Other_99,item_bg_02,Important,None,,2,Recipe,-1,,,#N/A,#N/A,,,,,,,,,,,,,,
Recipe_Other_98,失敗作食譜,3_dishes,,Recipe_Other_99,item_bg_03,Important,None,,3,Recipe,-1,,,#N/A,#N/A,,,,,,,,,,,,,,
Recipe_Other_99,失敗作食譜,3_dishes,,Recipe_Other_99,item_bg_04,Important,None,,4,Recipe,-1,,,#N/A,#N/A,166,,,,,,,,,,,,,
Food_Other_1,營養膏,3_dishes,,Food_Other_1,item_bg_01,Food,None,,1,Food,-1,ReceiveHPPercent:0.5;GetItem:Item_Attr_CookEXP:1;DeleteItem:Item_Attr_Emotion:15,,使用分解合成技術，將廚餘與各種糟糕的原料製成的膏狀物。\n兼具環保、便宜、營養、便利食用等多種優點。\n遺憾的是非常難吃。,#N/A,129,,,,,,,,,,,,,
Food_Other_2,摩摩喳喳,3_dishes,,Food_Other_2,item_bg_04,Food,None,,4,Food,-1,GetItem:Item_Attr_STR:15;GetItem:Item_Attr_DEX:20;GetItem:Item_Attr_INT:15;GetItem:Item_Attr_FoodEnergy:8000;GetItem:Item_Attr_CookEXP:4;GetItem:Item_Attr_Emotion:4;AddBuff:CExpRate:ByHModeRound:5:1,,繽紛多彩的甜湯。\n冷熱皆宜，椰香四溢。,#N/A,130,,,,,,,,,,,,,
Food_Other_3,元素咖哩,3_dishes,,Food_Other_3,item_bg_05,Food,None,,5,Food,-1,GetItem:Item_Attr_STR:40;GetItem:Item_Attr_DEX:80;GetItem:Item_Attr_INT:40;GetItem:Item_Attr_FoodEnergy:72000;GetItem:Item_Attr_CookEXP:6;GetItem:Item_Attr_Emotion:6;AddBuff:HP_Recover:ByExplore:3:1,,自然界的奇蹟，香料大爆炸！\n醬汁裡蘊含著世界的真理。,#N/A,131,,,,,,,,,,,,,
Food_Other_4,沙威核,3_dishes,,Food_Other_4,item_bg_05,Food,None,,5,Food,-1,GetItem:Item_Attr_STR:150;GetItem:Item_Attr_DEX:100;GetItem:Item_Attr_INT:50;GetItem:Item_Attr_MaxFoodEnergy:80000;GetItem:Item_Attr_FoodEnergy:180000;GetItem:Item_Attr_CookEXP:7;GetItem:Item_Attr_Emotion:100;AddBuff:HP_Recover:ByExplore:3:1,,稀罕食材做成的料理。\n能夠不停增生美味肉的謎之金屬球。\n※能讓{flag=Flag_AVG_Heroine_Name}取回一部分力量！,#N/A,132,,,,,,,,,,,,,
Food_Other_5,大爆炸彩虹果凍,3_dishes,,Food_Other_5,item_bg_05,Food,None,,5,Food,-1,GetItem:Item_Attr_STR:200;GetItem:Item_Attr_DEX:200;GetItem:Item_Attr_INT:200;GetItem:Item_Attr_MaxFoodEnergy:70000;GetItem:Item_Attr_FoodEnergy:250000;GetItem:Item_Attr_CookEXP:7;GetItem:Item_Attr_Emotion:100,,稀罕食材做成的料理。\n果凍內存在著持續生成與坍塌的微縮宇宙。\n※能讓{flag=Flag_AVG_Heroine_Name}取回一部分力量！,#N/A,133,,,,,,,,,,,,,
Food_Veggies_11,宇宙薯濃湯,3_dishes,,Food_Veggies_11,item_bg_02,Food,None,,2,Food,-1,GetItem:Item_Attr_STR:4;GetItem:Item_Attr_DEX:3;GetItem:Item_Attr_FoodEnergy:1200;GetItem:Item_Attr_CookEXP:2;GetItem:Item_Attr_Emotion:2,,宇宙中常見的湯料理。\n飽腹感十足。,#N/A,134,,,,,,,,,,,,,
Food_Veggies_12,羅宋湯,3_dishes,,Food_Veggies_12,item_bg_03,Food,None,,3,Food,-1,GetItem:Item_Attr_STR:4;GetItem:Item_Attr_DEX:9;GetItem:Item_Attr_FoodEnergy:2400;GetItem:Item_Attr_CookEXP:3;GetItem:Item_Attr_Emotion:3;AddBuff:HP_Recover:ByExplore:1:1,,酸中帶甜、甜中帶香。\n簡單營養，鮮豔無比的濃菜湯。,#N/A,135,,,,,,,,,,,,,
Food_Veggies_13,瑪格莉特披薩,3_dishes,,Food_Veggies_13,item_bg_04,Food,None,,4,Food,-1,GetItem:Item_Attr_DEX:8;GetItem:Item_Attr_INT:12;GetItem:Item_Attr_FoodEnergy:3000;GetItem:Item_Attr_CookEXP:4;GetItem:Item_Attr_Emotion:4;AddBuff:MExpRate:ByHModeRound:5:1,,濃郁起司與酸甜醬汁的組合。\n原料簡單口味獨特。\n－相傳，與武大郎賣的燒餅同款。,#N/A,136,,,,,,,,,,,,,
Food_Veggies_14,咖哩囊餅,3_dishes,,Food_Veggies_14,item_bg_04,Food,None,,4,Food,-1,GetItem:Item_Attr_DEX:16;GetItem:Item_Attr_INT:35;GetItem:Item_Attr_FoodEnergy:12000;GetItem:Item_Attr_CookEXP:5;GetItem:Item_Attr_Emotion:5,,酥香的餅皮Q彈有勁。\n與辛香料醬汁的搭配能誕生無數組合。,#N/A,137,,,,,,,,,,,,,
Food_Veggies_15,法式蔬菜凍,3_dishes,,Food_Veggies_15,item_bg_05,Food,None,,5,Food,-1,GetItem:Item_Attr_STR:40;GetItem:Item_Attr_DEX:25;GetItem:Item_Attr_INT:30;GetItem:Item_Attr_FoodEnergy:18000;GetItem:Item_Attr_CookEXP:6;GetItem:Item_Attr_Emotion:6;AddBuff:SmoothRate:ByHModeRound:10:1,,食材的美味濃縮為果凍。\n充滿膠質的冷湯料理。,#N/A,138,,,,,,,,,,,,,
Food_Veggies_16,水果之王聖代,3_dishes,,Food_Veggies_16,item_bg_05,Food,None,,5,Food,-1,GetItem:Item_Attr_DEX:80;GetItem:Item_Attr_INT:40;GetItem:Item_Attr_MaxFoodEnergy:24000;GetItem:Item_Attr_FoodEnergy:56000;GetItem:Item_Attr_CookEXP:7;GetItem:Item_Attr_Emotion:100,,稀罕食材做成的料理。\n以虹色水果佐飾的彩色聖代，帶有禁斷的味道。\n※能讓{flag=Flag_AVG_Heroine_Name}取回一部分力量！,#N/A,139,,,,,,,,,,,,,
Food_Meat_21,歐姆蛋包飯,3_dishes,,Food_Meat_21,item_bg_02,Food,None,,2,Food,-1,GetItem:Item_Attr_STR:8;GetItem:Item_Attr_DEX:5;GetItem:Item_Attr_FoodEnergy:2400;GetItem:Item_Attr_CookEXP:2;GetItem:Item_Attr_Emotion:2,,螺旋狀的蛋皮包裹住米飯。\n一口飯，一口流心蛋。,#N/A,140,,,,,,,,,,,,,
Food_Meat_22,肉排三明治,3_dishes,,Food_Meat_22,item_bg_03,Food,None,,3,Food,-1,GetItem:Item_Attr_STR:12;GetItem:Item_Attr_DEX:8;GetItem:Item_Attr_FoodEnergy:4200;GetItem:Item_Attr_CookEXP:3;GetItem:Item_Attr_Emotion:3,,將麵包中的濃郁肉汁一口咬下！\n熱量十足，簡易方便好攜帶。,#N/A,141,,,,,,,,,,,,,
Food_Meat_24,小籠湯包,3_dishes,,Food_Meat_24,item_bg_04,Food,None,,4,Food,-1,GetItem:Item_Attr_STR:10;GetItem:Item_Attr_DEX:10;GetItem:Item_Attr_INT:10;GetItem:Item_Attr_FoodEnergy:8000;GetItem:Item_Attr_CookEXP:4;GetItem:Item_Attr_Emotion:4;AddBuff:HP_Recover:ByExplore:2:1,,皮薄、餡多、鮮香味美。\n咬破後，濃郁湯汁立馬溢滿口腔。,#N/A,142,,,,,,,,,,,,,
Food_Meat_26,握壽司,3_dishes,,Food_Meat_26,item_bg_04,Food,None,,4,Food,-1,GetItem:Item_Attr_STR:85;GetItem:Item_Attr_FoodEnergy:14000;GetItem:Item_Attr_CookEXP:5;GetItem:Item_Attr_Emotion:5;AddBuff:Anti_Spike:ByExplore:2:1,,新鮮的食材蓋在飽滿的醋飯上。\n刀工與捏製的手法馬虎不得！,#N/A,143,,,,,,,,,,,,,
Food_Meat_27,火元素烤肉,3_dishes,,Food_Meat_27,item_bg_05,Food,None,,5,Food,-1,GetItem:Item_Attr_STR:125;GetItem:Item_Attr_DEX:60;GetItem:Item_Attr_FoodEnergy:80000;GetItem:Item_Attr_CookEXP:6;GetItem:Item_Attr_Emotion:6;AddBuff:Anti_Lava:ByExplore:2:1,,利用元素力量製作的完美燒肉。\n肉汁、香氣、口感嚼勁皆屬完美！,#N/A,144,,,,,,,,,,,,,
Food_Meat_28,閃光渡渡鳥親子丼,3_dishes,,Food_Meat_28,item_bg_05,Food,None,,5,Food,-1,GetItem:Item_Attr_STR:10;GetItem:Item_Attr_DEX:20;GetItem:Item_Attr_MaxFoodEnergy:5000;GetItem:Item_Attr_FoodEnergy:10000;GetItem:Item_Attr_CookEXP:7;GetItem:Item_Attr_Emotion:100,,稀罕食材做成的料理。\n蓋在白飯上的肉與蛋液閃爍著1/4096機率的光芒。\n※能讓{flag=Flag_AVG_Heroine_Name}取回一部分力量！,#N/A,145,,,,,,,,,,,,,
Food_Meat_29,傳說牛燒肉盛合,3_dishes,,Food_Meat_29,item_bg_05,Food,None,,5,Food,-1,GetItem:Item_Attr_STR:15;GetItem:Item_Attr_DEX:15;GetItem:Item_Attr_INT:20;GetItem:Item_Attr_MaxFoodEnergy:8000;GetItem:Item_Attr_FoodEnergy:18000;GetItem:Item_Attr_CookEXP:7;GetItem:Item_Attr_Emotion:100,,稀罕食材做成的料理。\n取黃金哞各部位精華的燒肉組合。\n邊烤邊吃，好玩又有趣。\n※能讓{flag=Flag_AVG_Heroine_Name}取回一部分力量！,#N/A,146,,,,,,,,,,,,,
Food_Insects_31,酥炸宇宙蝗蟲,3_dishes,,Food_Insects_31,item_bg_02,Food,None,,2,Food,-1,GetItem:Item_Attr_DEX:8;GetItem:Item_Attr_FoodEnergy:500;GetItem:Item_Attr_CookEXP:2;GetItem:Item_Attr_Emotion:2,,肉質鮮嫩口感香脆。\n酥脆的小點心。,#N/A,147,,,,,,,,,,,,,
Food_Insects_32,麻辣小龍蟹,3_dishes,,Food_Insects_32,item_bg_03,Food,None,,3,Food,-1,GetItem:Item_Attr_DEX:30;GetItem:Item_Attr_FoodEnergy:5000;GetItem:Item_Attr_CookEXP:3;GetItem:Item_Attr_Emotion:3;AddBuff:AExpRate:ByHModeRound:5:1,,鮮香麻辣，濃郁醬汁後勁十足。\n一唆一吸停不下手。,#N/A,148,,,,,,,,,,,,,
Food_Insects_33,蜜蜂飲料,3_dishes,,Food_Insects_33,item_bg_04,Food,None,,4,Food,-1,GetItem:Item_Attr_DEX:30;GetItem:Item_Attr_INT:20;GetItem:Item_Attr_FoodEnergy:9000;GetItem:Item_Attr_CookEXP:4;GetItem:Item_Attr_Emotion:4;AddBuff:HP_Recover:ByExplore:3:1,,甜蜜的滋味中藏有意外驚喜。\n－蜂蜜飲料裡真的有蜜蜂！,#N/A,149,,,,,,,,,,,,,
Food_Insects_34,酸辣蝦蛄湯,3_dishes,,Food_Insects_34,item_bg_04,Food,None,,4,Food,-1,GetItem:Item_Attr_STR:45;GetItem:Item_Attr_DEX:20;GetItem:Item_Attr_INT:20;GetItem:Item_Attr_FoodEnergy:10000;GetItem:Item_Attr_CookEXP:5;GetItem:Item_Attr_Emotion:5;AddBuff:Anti_Spike:ByExplore:1:1,,酸辣可口的蝦湯！\n香料滿滿的鮮美滋味最開胃。,#N/A,150,,,,,,,,,,,,,
Food_Insects_35,甲羅燒,3_dishes,,Food_Insects_35,item_bg_05,Food,None,,5,Food,-1,GetItem:Item_Attr_STR:50;GetItem:Item_Attr_DEX:50;GetItem:Item_Attr_INT:40;GetItem:Item_Attr_FoodEnergy:40000;GetItem:Item_Attr_CookEXP:6;GetItem:Item_Attr_Emotion:6,,濃郁的海味合而為一。\n討伐披甲武者的證明！,#N/A,151,,,,,,,,,,,,,
Food_Insects_36,大王具足蟲焗烤佐蟲汁果凍,3_dishes,,Food_Insects_36,item_bg_05,Food,None,,5,Food,-1,GetItem:Item_Attr_STR:80;GetItem:Item_Attr_DEX:80;GetItem:Item_Attr_INT:60;GetItem:Item_Attr_MaxFoodEnergy:44000;GetItem:Item_Attr_FoodEnergy:100000;GetItem:Item_Attr_CookEXP:7;GetItem:Item_Attr_Emotion:100,,稀罕食材做成的料理。\n在銀河社群平台紅極一時。\n適合拍照上傳的料理。\n※能讓{flag=Flag_AVG_Heroine_Name}取回一部分力量！,#N/A,152,,,,,,,,,,,,,
Food_Mollusk_41,涼拌螢光水母,3_dishes,,Food_Mollusk_41,item_bg_02,Food,None,,2,Food,-1,GetItem:Item_Attr_INT:8;GetItem:Item_Attr_FoodEnergy:400;GetItem:Item_Attr_CookEXP:2;GetItem:Item_Attr_Emotion:2,,清脆可口的涼拌冷菜。\n鹹香開胃又健康。,#N/A,153,,,,,,,,,,,,,
Food_Mollusk_42,焗烤蝸牛,3_dishes,,Food_Mollusk_42,item_bg_02,Food,None,,2,Food,-1,GetItem:Item_Attr_STR:5;GetItem:Item_Attr_INT:3;GetItem:Item_Attr_FoodEnergy:500;GetItem:Item_Attr_CookEXP:2;GetItem:Item_Attr_Emotion:2;AddBuff:SmoothRate:ByHModeRound:5:1,,緊實肉質搭配奶油蒜香。\n法式經典，吃了一口接一口。,#N/A,154,,,,,,,,,,,,,
Food_Mollusk_43,烤魷魚,3_dishes,,Food_Mollusk_43,item_bg_03,Food,None,,3,Food,-1,GetItem:Item_Attr_DEX:8;GetItem:Item_Attr_INT:12;GetItem:Item_Attr_FoodEnergy:2000;GetItem:Item_Attr_CookEXP:3;GetItem:Item_Attr_Emotion:3,,烤好的Q彈魷魚穿成串。\n邊走邊吃，醬香遠播。,#N/A,155,,,,,,,,,,,,,
Food_Mollusk_44,章魚燒,3_dishes,,Food_Mollusk_44,item_bg_04,Food,None,,4,Food,-1,GetItem:Item_Attr_DEX:6;GetItem:Item_Attr_INT:22;GetItem:Item_Attr_FoodEnergy:6000;GetItem:Item_Attr_CookEXP:4;GetItem:Item_Attr_Emotion:4;AddBuff:Anti_Miasma:ByExplore:1:1,,圓形的小球裡面藏有海裡的惡魔？！\n表面的醬汁或配料可以自由搭配。,#N/A,156,,,,,,,,,,,,,
Food_Mollusk_45,生牡蠣,3_dishes,,Food_Mollusk_45,item_bg_04,Food,None,,4,Food,-1,GetItem:Item_Attr_STR:40;GetItem:Item_Attr_INT:45;GetItem:Item_Attr_FoodEnergy:16000;GetItem:Item_Attr_CookEXP:5;GetItem:Item_Attr_Emotion:5;AddBuff:VExpRate:ByHModeRound:5:1,,鮮甜精華濃縮其中，肉質飽滿。\n沾上清爽的醬汁即可食用。,#N/A,157,,,,,,,,,,,,,
Food_Mollusk_46,佛跳牆,3_dishes,,Food_Mollusk_46,item_bg_05,Food,None,,5,Food,-1,GetItem:Item_Attr_STR:40;GetItem:Item_Attr_DEX:50;GetItem:Item_Attr_INT:60;GetItem:Item_Attr_FoodEnergy:60000;GetItem:Item_Attr_CookEXP:6;GetItem:Item_Attr_Emotion:6,,複雜工藝慢火熬煮出的美味。\n象徵富足以及好采頭，香氣十足的料理。,#N/A,158,,,,,,,,,,,,,
Food_Mollusk_47,黃金烤蝸牛沙拉,3_dishes,,Food_Mollusk_47,item_bg_05,Food,None,,5,Food,-1,GetItem:Item_Attr_STR:12;GetItem:Item_Attr_INT:8;GetItem:Item_Attr_MaxFoodEnergy:3000;GetItem:Item_Attr_FoodEnergy:5000;GetItem:Item_Attr_CookEXP:7;GetItem:Item_Attr_Emotion:100,,稀罕食材做成的料理。\n取黃金蝸牛精華製成的沙拉。\n上頭宛如包著層金箔，閃閃發光。\n※能讓{flag=Flag_AVG_Heroine_Name}取回一部分力量！,#N/A,159,,,,,,,,,,,,,
Food_Fungus_51,炭烤星幻菇,3_dishes,,Food_Fungus_51,item_bg_02,Food,None,,2,Food,-1,GetItem:Item_Attr_DEX:9;GetItem:Item_Attr_INT:4;GetItem:Item_Attr_FoodEnergy:800;GetItem:Item_Attr_CookEXP:2;GetItem:Item_Attr_Emotion:2,,開胃小菜。\n利用烤製鎖住了香菇的鮮甜與水份。,#N/A,160,,,,,,,,,,,,,
Food_Fungus_52,藍紋起司餅乾,3_dishes,,Food_Fungus_52,item_bg_03,Food,None,,3,Food,-1,GetItem:Item_Attr_INT:20;GetItem:Item_Attr_FoodEnergy:2200;GetItem:Item_Attr_CookEXP:3;GetItem:Item_Attr_Emotion:3;AddBuff:BExpRate:ByHModeRound:5:1,,風味強烈且刺激。\n有人趨之若鶩，有人避之唯恐不及。,#N/A,161,,,,,,,,,,,,,
Food_Fungus_53,松茸飯,3_dishes,,Food_Fungus_53,item_bg_04,Food,None,,4,Food,-1,GetItem:Item_Attr_DEX:12;GetItem:Item_Attr_INT:18;GetItem:Item_Attr_FoodEnergy:12000;GetItem:Item_Attr_CookEXP:4;GetItem:Item_Attr_Emotion:4;AddBuff:Anti_Miasma:ByExplore:2:1,,切片的松茸與米飯一起燉煮。\n每一口都浸滿了山珍的鮮美。,#N/A,162,,,,,,,,,,,,,
Food_Fungus_54,香菇牛排,3_dishes,,Food_Fungus_54,item_bg_04,Food,None,,4,Food,-1,GetItem:Item_Attr_STR:60;GetItem:Item_Attr_INT:70;GetItem:Item_Attr_FoodEnergy:48000;GetItem:Item_Attr_CookEXP:5;GetItem:Item_Attr_Emotion:5;AddBuff:HP_Recover:ByExplore:3:1,,厚實的菇肉經過炸、煮、悶燉收汁後完成的素料理。\n不是牛排勝似牛排,#N/A,163,,,,,,,,,,,,,
Food_Fungus_55,黑松露酥皮湯,3_dishes,,Food_Fungus_55,item_bg_05,Food,None,,5,Food,-1,GetItem:Item_Attr_STR:50;GetItem:Item_Attr_DEX:40;GetItem:Item_Attr_INT:100;GetItem:Item_Attr_FoodEnergy:60000;GetItem:Item_Attr_CookEXP:6;GetItem:Item_Attr_Emotion:6;AddBuff:Anti_Lava:ByExplore:1:1,,鮮味與香味被鎖在了金黃的酥皮底下。\n一旦敲開，香氣便會裊繞全場。\n記載於美食史上的名菜。,#N/A,164,,,,,,,,,,,,,
Food_Fungus_56,冬蟲夏草飛龍鍋,3_dishes,,Food_Fungus_56,item_bg_05,Food,None,,5,Food,-1,GetItem:Item_Attr_DEX:30;GetItem:Item_Attr_INT:50;GetItem:Item_Attr_MaxFoodEnergy:14000;GetItem:Item_Attr_FoodEnergy:32000;GetItem:Item_Attr_CookEXP:7;GetItem:Item_Attr_Emotion:100,,稀罕食材做成的料理。\n是肉也是藥材，肉中散發著菇類的清香。\n獨角蛇與龍相似，故又稱作飛龍鍋。\n※能讓{flag=Flag_AVG_Heroine_Name}取回一部分力量！,#N/A,165,,,,,,,,,,,,,
Food_Other_95,失敗作,3_dishes,,Food_Other_99,item_bg_01,Food,None,,1,Food,-1,GetItem:Item_Attr_FoodEnergy:200;GetItem:Item_Attr_CookEXP:2,,研究的失敗品。\n衝突的食材讓料理變成了焦黑的不明物質。\n無法保證吃下會發生什麼事......,#N/A,,,,,,,,,,,,,,
Food_Other_96,失敗作,3_dishes,,Food_Other_99,item_bg_01,Food,None,,1,Food,-1,GetItem:Item_Attr_STR:1;GetItem:Item_Attr_DEX:1;GetItem:Item_Attr_INT:1;GetItem:Item_Attr_FoodEnergy:500;GetItem:Item_Attr_CookEXP:3,,研究的失敗品。\n衝突的食材讓料理變成了焦黑的不明物質。\n無法保證吃下會發生什麼事......,#N/A,,,,,,,,,,,,,,
